drug_id,entrez_id,tas,name,symbol
HMSL10001,7006,10,Seliciclib,TEC
HMSL10001,7010,10,Seliciclib,TEK
HMSL10001,7016,10,Seliciclib,TESK1
HMSL10001,7046,10,Seliciclib,TGFBR1
HMSL10001,7048,10,Seliciclib,TGFBR2
HMSL10001,7075,10,Seliciclib,TIE1
HMSL10001,7086,10,Seliciclib,TKT
HMSL10001,7272,3,Seliciclib,TTK
HMSL10001,7294,10,Seliciclib,TXK
HMSL10001,7297,10,Seliciclib,TYK2
HMSL10001,7301,10,Seliciclib,TYRO3
HMSL10001,7465,10,Seliciclib,WEE1
HMSL10001,7525,10,Seliciclib,YES1
HMSL10001,7535,10,Seliciclib,ZAP70
HMSL10001,7786,10,Seliciclib,MAP3K12
HMSL10001,8394,10,Seliciclib,PIP5K1A
HMSL10001,8396,10,Seliciclib,PIP4K2B
HMSL10001,8428,10,Seliciclib,STK24
HMSL10001,8476,10,Seliciclib,CDC42BPA
HMSL10001,8491,10,Seliciclib,MAP4K3
HMSL10001,8536,10,Seliciclib,CAMK1
HMSL10001,8550,10,Seliciclib,MAPKAPK5
HMSL10001,8569,10,Seliciclib,MKNK1
HMSL10001,8573,10,Seliciclib,CASK
HMSL10001,8576,10,Seliciclib,STK16
HMSL10001,8621,10,Seliciclib,CDK13
HMSL10001,8711,10,Seliciclib,TNK1
HMSL10001,8737,10,Seliciclib,RIPK1
HMSL10001,8767,10,Seliciclib,RIPK2
HMSL10001,8780,10,Seliciclib,RIOK3
HMSL10001,8851,2,Seliciclib,CDK5R1
HMSL10001,8899,10,Seliciclib,PRPF4B
HMSL10001,8900,2,Seliciclib,CCNA1
HMSL10001,8986,10,Seliciclib,RPS6KA4
HMSL10001,8999,10,Seliciclib,CDKL2
HMSL10001,9020,10,Seliciclib,MAP3K14
HMSL10001,9024,10,Seliciclib,BRSK2
HMSL10001,9064,10,Seliciclib,MAP3K6
HMSL10001,9088,10,Seliciclib,PKMYT1
HMSL10001,9113,10,Seliciclib,LATS1
HMSL10001,9133,2,Seliciclib,CCNB2
HMSL10001,9134,2,Seliciclib,CCNE2
HMSL10001,9149,3,Seliciclib,DYRK1B
HMSL10001,9175,10,Seliciclib,MAP3K13
HMSL10001,9201,10,Seliciclib,DCLK1
HMSL10001,9212,10,Seliciclib,AURKB
HMSL10001,9252,10,Seliciclib,RPS6KA5
HMSL10001,9261,10,Seliciclib,MAPKAPK2
HMSL10001,9262,10,Seliciclib,STK17B
HMSL10001,9263,10,Seliciclib,STK17A
HMSL10001,9344,10,Seliciclib,TAOK2
HMSL10001,9448,10,Seliciclib,MAP4K4
HMSL10001,9475,10,Seliciclib,ROCK2
HMSL10001,9578,10,Seliciclib,CDC42BPB
HMSL10001,9641,10,Seliciclib,IKBKE
HMSL10001,9706,10,Seliciclib,ULK2
HMSL10001,9748,10,Seliciclib,SLK
HMSL10001,9833,10,Seliciclib,MELK
HMSL10001,9874,10,Seliciclib,TLK1
HMSL10001,9891,10,Seliciclib,NUAK1
HMSL10001,10000,10,Seliciclib,AKT3
HMSL10001,10110,10,Seliciclib,SGK2
HMSL10001,10188,10,Seliciclib,TNK2
HMSL10001,10298,3,Seliciclib,PAK4
HMSL10001,10461,10,Seliciclib,MERTK
HMSL10001,10494,10,Seliciclib,STK25
HMSL10001,10645,10,Seliciclib,CAMKK2
HMSL10001,10733,10,Seliciclib,PLK4
HMSL10001,10746,10,Seliciclib,MAP3K2
HMSL10001,10769,10,Seliciclib,PLK2
HMSL10001,10783,10,Seliciclib,NEK6
HMSL10001,11011,10,Seliciclib,TLK2
HMSL10001,11040,10,Seliciclib,PIM2
HMSL10001,11113,10,Seliciclib,CIT
HMSL10001,11183,10,Seliciclib,MAP4K5
HMSL10001,11184,10,Seliciclib,MAP4K1
HMSL10001,11200,10,Seliciclib,CHEK2
HMSL10001,11213,10,Seliciclib,IRAK3
HMSL10001,11329,10,Seliciclib,STK38
HMSL10001,22848,10,Seliciclib,AAK1
HMSL10001,22983,10,Seliciclib,MAST1
HMSL10001,23012,10,Seliciclib,STK38L
HMSL10001,23043,10,Seliciclib,TNIK
HMSL10001,23097,10,Seliciclib,CDK19
HMSL10001,23235,10,Seliciclib,SIK2
HMSL10001,23387,10,Seliciclib,SIK3
HMSL10001,23396,10,Seliciclib,PIP5K1C
HMSL10001,23604,10,Seliciclib,DAPK2
HMSL10001,23678,10,Seliciclib,SGK3
HMSL10001,23683,10,Seliciclib,PRKD3
HMSL10001,25865,10,Seliciclib,PRKD2
HMSL10001,25989,10,Seliciclib,ULK3
HMSL10001,26524,10,Seliciclib,LATS2
HMSL10001,26576,10,Seliciclib,SRPK3
HMSL10001,27102,10,Seliciclib,EIF2AK1
HMSL10001,27148,10,Seliciclib,STK36
HMSL10001,27330,10,Seliciclib,RPS6KA6
HMSL10001,30811,10,Seliciclib,HUNK
HMSL10001,51086,10,Seliciclib,TNNI3K
HMSL10001,51265,10,Seliciclib,CDKL3
HMSL10001,51347,10,Seliciclib,TAOK3
HMSL10001,51701,10,Seliciclib,NLK
HMSL10001,51765,10,Seliciclib,STK26
HMSL10001,51776,10,Seliciclib,MAP3K20
HMSL10001,53904,10,Seliciclib,MYO3A
HMSL10001,53944,10,Seliciclib,CSNK1G1
HMSL10001,54861,10,Seliciclib,SNRK
HMSL10001,55351,10,Seliciclib,STK32B
HMSL10001,55561,10,Seliciclib,CDC42BPG
HMSL10001,55589,10,Seliciclib,BMP2K
HMSL10001,56924,10,Seliciclib,PAK6
HMSL10001,56997,10,Seliciclib,COQ8A
HMSL10001,57118,10,Seliciclib,CAMK1D
HMSL10001,57144,10,Seliciclib,PAK5
HMSL10001,57172,10,Seliciclib,CAMK1G
HMSL10001,57396,3,Seliciclib,CLK4
HMSL10001,57551,10,Seliciclib,TAOK1
HMSL10001,57787,10,Seliciclib,MARK4
HMSL10001,65125,10,Seliciclib,WNK1
HMSL10001,65267,10,Seliciclib,WNK3
HMSL10001,65975,10,Seliciclib,STK33
HMSL10001,79858,10,Seliciclib,NEK11
HMSL10001,80122,10,Seliciclib,MAP3K19
HMSL10001,81788,10,Seliciclib,NUAK2
HMSL10001,83732,10,Seliciclib,RIOK1
HMSL10001,83903,10,Seliciclib,HASPIN
HMSL10001,83942,10,Seliciclib,TSSK1B
HMSL10001,84254,10,Seliciclib,CAMKK1
HMSL10001,84446,10,Seliciclib,BRSK1
HMSL10001,85366,10,Seliciclib,MYLK2
HMSL10001,85417,2,Seliciclib,CCNB3
HMSL10001,85443,10,Seliciclib,DCLK3
HMSL10001,91754,10,Seliciclib,NEK9
HMSL10001,91807,10,Seliciclib,MYLK3
HMSL10001,120892,10,Seliciclib,LRRK2
HMSL10001,122011,10,Seliciclib,CSNK1A1L
HMSL10001,131890,10,Seliciclib,GRK7
HMSL10001,140469,10,Seliciclib,MYO3B
HMSL10001,140609,10,Seliciclib,NEK7
HMSL10001,140803,10,Seliciclib,TRPM6
HMSL10001,140901,10,Seliciclib,STK35
HMSL10001,150094,10,Seliciclib,SIK1
HMSL10001,152110,10,Seliciclib,NEK10
HMSL10001,166614,10,Seliciclib,DCLK2
HMSL10001,167359,10,Seliciclib,NIM1K
HMSL10001,202374,10,Seliciclib,STK32A
HMSL10001,225689,10,Seliciclib,MAPK15
HMSL10001,255239,10,Seliciclib,ANKK1
HMSL10001,282974,10,Seliciclib,STK32C
HMSL10001,284086,10,Seliciclib,NEK8
HMSL10001,285220,10,Seliciclib,EPHA6
HMSL10001,340156,10,Seliciclib,MYLK4
HMSL10001,341676,10,Seliciclib,NEK5
HMSL10001,388228,10,Seliciclib,SBK1
HMSL10001,389840,10,Seliciclib,MAP3K15
HMSL10001,415116,10,Seliciclib,PIM3
HMSL10001,440275,10,Seliciclib,EIF2AK4
HMSL10001,494551,10,Seliciclib,WEE2
HMSL10001,728642,10,Seliciclib,CDK11A
HMSL10001,100130827,10,Seliciclib,SBK3
HMSL10001,100526835,10,Seliciclib,FPGT-TNNI3K
HMSL10001,100533105,10,Seliciclib,C8orf44-SGK3
HMSL10001,102724428,10,Seliciclib,SIK1B
HMSL10002,27,2,ALW-II-38-3,ABL2
HMSL10002,90,10,ALW-II-38-3,ACVR1
HMSL10002,91,10,ALW-II-38-3,ACVR1B
HMSL10002,92,10,ALW-II-38-3,ACVR2A
HMSL10002,93,10,ALW-II-38-3,ACVR2B
HMSL10002,94,10,ALW-II-38-3,ACVRL1
HMSL10002,207,10,ALW-II-38-3,AKT1
HMSL10002,208,10,ALW-II-38-3,AKT2
HMSL10002,238,10,ALW-II-38-3,ALK
HMSL10002,558,10,ALW-II-38-3,AXL
HMSL10002,657,10,ALW-II-38-3,BMPR1A
HMSL10002,658,10,ALW-II-38-3,BMPR1B
HMSL10002,659,10,ALW-II-38-3,BMPR2
HMSL10002,660,10,ALW-II-38-3,BMX
HMSL10002,673,2,ALW-II-38-3,BRAF
HMSL10002,695,10,ALW-II-38-3,BTK
HMSL10002,780,2,ALW-II-38-3,DDR1
HMSL10002,814,10,ALW-II-38-3,CAMK4
HMSL10002,815,10,ALW-II-38-3,CAMK2A
HMSL10002,816,10,ALW-II-38-3,CAMK2B
HMSL10002,817,10,ALW-II-38-3,CAMK2D
HMSL10002,818,10,ALW-II-38-3,CAMK2G
HMSL10002,984,10,ALW-II-38-3,CDK11B
HMSL10002,1017,10,ALW-II-38-3,CDK2
HMSL10002,1018,10,ALW-II-38-3,CDK3
HMSL10002,1020,10,ALW-II-38-3,CDK5
HMSL10002,1022,10,ALW-II-38-3,CDK7
HMSL10002,1024,10,ALW-II-38-3,CDK8
